提交id,用户id,题目名称,提交语言,提交状态,提交时间,代码详细,占用时间,占用内存
79694589,374244941,不神秘签到,GCC,答案正确,2025/10/18 13:00,,2,324
79694590,374244941,不神秘签到,GCC,答案正确,2025/10/18 13:00,,1,192
79694591,178515278,不神秘签到,C++,答案正确,2025/10/18 13:00,,3,400
79694592,391034496,不神秘签到,C++,答案正确,2025/10/18 13:01,,2,312
79694594,556124624,不神秘签到,C++,答案正确,2025/10/18 13:01,,3,300
79694599,792631910,不神秘签到,C++,答案正确,2025/10/18 13:01,,2,320
79694600,565818808,不神秘签到,C,答案正确,2025/10/18 13:01,,1,204
79694601,390876669,不神秘签到,Python 3,答案正确,2025/10/18 13:01,,29,4472
79694603,518693585,不神秘签到,Python,答案正确,2025/10/18 13:02,,10,2832
79694604,246258580,不神秘签到,C++,答案正确,2025/10/18 13:02,,3,384
79694607,698535729,不神秘签到,C,答案正确,2025/10/18 13:02,,1,352
79694612,518693585,不神秘签到,Python,答案正确,2025/10/18 13:02,,12,2944
79694613,416196197,不神秘签到,C,答案正确,2025/10/18 13:02,,1,184
79694616,698535729,不神秘签到,C,答案正确,2025/10/18 13:02,,1,216
79694620,393305412,不神秘签到,C,答案正确,2025/10/18 13:03,,2,304
79694622,393305412,不神秘签到,C,答案正确,2025/10/18 13:03,,1,296
79694627,876736250,不神秘签到,C++,答案正确,2025/10/18 13:03,,2,344
79694629,246258580,DidUKnow?,C++,答案正确,2025/10/18 13:03,,9,456
79694635,937020084,不神秘签到,C,答案正确,2025/10/18 13:03,,2,292
79694636,406798579,不神秘签到,C,答案正确,2025/10/18 13:03,,2,296
79694639,502269390,不神秘签到,Pypy3,答案正确,2025/10/18 13:04,,47,21108
79694643,956979518,不神秘签到,Pypy3,答案正确,2025/10/18 13:04,,50,21104
79694647,246258580,神秘计数,C++,答案正确,2025/10/18 13:04,,3,676
79694650,555362745,不神秘签到,C++,答案正确,2025/10/18 13:04,,2,292
79694653,555362745,不神秘签到,C++,答案正确,2025/10/18 13:05,,2,384
79694660,518693585,不神秘签到,Python,答案正确,2025/10/18 13:05,,13,2944
79694666,391034496,神秘字符串,C++,答案正确,2025/10/18 13:05,,3,400
79694676,389343658,不神秘签到,C,答案正确,2025/10/18 13:06,,2,304
79694678,178515278,DidUKnow?,C++,编译错误,2025/10/18 13:06,,0,0
79694683,243140229,不神秘签到,Python 3,答案错误,2025/10/18 13:07,,30,4472
79694686,178515278,DidUKnow?,C++,答案错误,2025/10/18 13:07,,101,620
79694688,243140229,不神秘签到,Python 3,答案错误,2025/10/18 13:07,,29,4480
79694690,178515278,DidUKnow?,C++,答案错误,2025/10/18 13:07,,89,760
79694707,513608587,不神秘签到,C++,答案正确,2025/10/18 13:08,,2,308
79694721,178515278,DidUKnow?,C++,答案错误,2025/10/18 13:09,,42,540
79694724,178515278,DidUKnow?,C++,答案错误,2025/10/18 13:10,,38,456
79694731,968264883,不神秘签到,Php,答案正确,2025/10/18 13:10,,12,9972
79694742,187679888,不神秘签到,C,答案正确,2025/10/18 13:11,,1,300
79694751,597380416,不神秘签到,C++,答案正确,2025/10/18 13:12,,2,308
79694753,243140229,不神秘签到,Python,答案正确,2025/10/18 13:12,,9,2872
79694757,420811740,不神秘签到,C,编译错误,2025/10/18 13:12,,0,0
79694759,243140229,不神秘签到,Python,答案正确,2025/10/18 13:12,,10,2944
79694760,968264883,DidUKnow?,C++,答案正确,2025/10/18 13:12,,12,480
79694763,420811740,不神秘签到,C,答案正确,2025/10/18 13:12,,2,260
79694786,968264883,神秘计数,C++,答案正确,2025/10/18 13:13,,4,456
79694788,178515278,神秘计数,C++,答案正确,2025/10/18 13:14,,5,656
79694789,246258580,神秘字符串,C++,答案正确,2025/10/18 13:14,,3,408
79694793,374244941,DidUKnow?,GCC,答案正确,2025/10/18 13:14,,11,344
79694800,597380416,DidUKnow?,C++,答案正确,2025/10/18 13:14,,41,444
79694808,391034496,歪数,C++,答案正确,2025/10/18 13:15,,4,1176
79694814,866328313,不神秘签到,Java,答案正确,2025/10/18 13:15,,26,10692
79694824,597380416,神秘计数,C++,答案正确,2025/10/18 13:16,,4,640
79694827,792631910,DidUKnow?,C++,答案正确,2025/10/18 13:16,,37,428
79694840,391034496,DidUKnow?,C++,答案错误,2025/10/18 13:17,,2,396
79694855,866328313,DidUKnow?,Java,答案正确,2025/10/18 13:18,,185,17808
79694868,246258580,神秘博弈（EasyVerson),C++,答案正确,2025/10/18 13:19,,19,436
79694876,513608587,DidUKnow?,C++,答案正确,2025/10/18 13:19,,40,508
79694882,866328313,神秘计数,Java,答案正确,2025/10/18 13:20,,60,13184
79694885,968264883,神秘博弈（HardVerson),C++,答案正确,2025/10/18 13:20,,282,26360
79694889,799233910,不神秘签到,C,答案正确,2025/10/18 13:20,,1,184
79694890,968264883,神秘博弈（EasyVerson),C++,答案正确,2025/10/18 13:20,,26,20032
79694905,799233910,不神秘签到,C,答案正确,2025/10/18 13:21,,2,284
79694909,799233910,不神秘签到,C,答案正确,2025/10/18 13:21,,2,300
79694923,513608587,神秘计数,C++,答案正确,2025/10/18 13:22,,5,676
79694945,246258580,神秘博弈（HardVerson),C++,答案错误,2025/10/18 13:23,,317,6688
79694946,565818808,神秘计数,C,段错误,2025/10/18 13:23,,6,384
79694951,246258580,神秘博弈（EasyVerson),C++,答案错误,2025/10/18 13:24,,4,488
79694953,374244941,神秘计数,GCC,答案正确,2025/10/18 13:24,,2,440
79694971,502269390,神秘计数,Pypy3,答案正确,2025/10/18 13:24,,76,21364
79694977,792631910,神秘计数,C++,答案正确,2025/10/18 13:25,,8,560
79694986,246258580,神秘博弈（EasyVerson),C++,答案正确,2025/10/18 13:25,,3,424
79694988,391034496,神秘计数,C++,答案正确,2025/10/18 13:25,,3,700
79694992,246258580,神秘博弈（HardVerson),C++,答案错误,2025/10/18 13:25,,286,6712
79695001,246258580,神秘博弈（HardVerson),C++,答案正确,2025/10/18 13:26,,281,6780
79695003,392785358,不神秘签到,C++,答案正确,2025/10/18 13:26,,2,296
79695004,555362745,神秘计数,C,段错误,2025/10/18 13:26,,2,400
79695012,555362745,神秘计数,C,段错误,2025/10/18 13:26,,2,396
79695014,555362745,神秘计数,C,段错误,2025/10/18 13:26,,3,408
79695031,555362745,神秘计数,C,段错误,2025/10/18 13:27,,2,352
79695032,555362745,神秘计数,C,段错误,2025/10/18 13:27,,3,444
79695035,555362745,神秘计数,C,段错误,2025/10/18 13:27,,3,452
79695042,390876669,DidUKnow?,Python 3,执行出错,2025/10/18 13:28,,151,4632
79695043,513608587,神秘博弈（EasyVerson),C++,答案错误,2025/10/18 13:28,,6,4368
79695051,556124624,DidUKnow?,C++,答案正确,2025/10/18 13:28,,45,484
79695056,555362745,神秘计数,C,段错误,2025/10/18 13:28,,2,412
79695073,866328313,神秘博弈（EasyVerson),Java,答案正确,2025/10/18 13:29,,64,19416
79695075,555362745,神秘计数,C,段错误,2025/10/18 13:29,,2,352
79695081,866328313,神秘博弈（HardVerson),Java,答案正确,2025/10/18 13:29,,846,34364
79695082,597380416,神秘博弈（HardVerson),C++,答案错误,2025/10/18 13:29,,1607,11452
79695084,457132354,不神秘签到,C,答案正确,2025/10/18 13:29,,2,328
79695085,597380416,神秘博弈（HardVerson),C++,答案错误,2025/10/18 13:29,,1535,11468
79695094,968264883,神秘煎饼,C++,答案错误,2025/10/18 13:30,,3,444
79695121,513608587,神秘博弈（EasyVerson),C++,答案错误,2025/10/18 13:31,,44,8208
79695124,390876669,DidUKnow?,Python 3,执行出错,2025/10/18 13:31,,167,4592
79695130,243140229,DidUKnow?,Python 3,答案正确,2025/10/18 13:32,,169,4584
79695147,876736250,神秘计数,C++,答案正确,2025/10/18 13:33,,6,640
79695152,246258580,神秘煎饼,C++,答案错误,2025/10/18 13:33,,3,548
79695155,374244941,神秘博弈（EasyVerson),GCC,答案错误,2025/10/18 13:33,,2,400
79695158,968264883,神秘煎饼,C++,答案错误,2025/10/18 13:33,,4,452
79695168,757880607,不神秘签到,C,编译错误,2025/10/18 13:33,,0,0
79695178,698535729,DidUKnow?,C,答案正确,2025/10/18 13:34,,10,352
79695186,390876669,DidUKnow?,Python 3,答案正确,2025/10/18 13:34,,176,4604
79695194,282538857,不神秘签到,C,答案正确,2025/10/18 13:35,,1,308
79695204,757880607,不神秘签到,C,答案正确,2025/10/18 13:35,,2,284
79695207,392785358,神秘数字,C++,答案错误,2025/10/18 13:35,,3,428
79695210,374244941,神秘博弈（EasyVerson),GCC,答案错误,2025/10/18 13:35,,2,344
79695220,555362745,神秘计数,C,段错误,2025/10/18 13:36,,3,344
79695229,912822112,不神秘签到,Python 3,答案正确,2025/10/18 13:36,,30,4472
79695233,391034496,神秘煎饼,C++,答案错误,2025/10/18 13:37,,3,584
79695244,555362745,神秘计数,C,段错误,2025/10/18 13:37,,2,392
79695251,406798579,神秘计数,C,答案错误,2025/10/18 13:37,,4,440
79695253,246258580,神秘煎饼,C++,答案错误,2025/10/18 13:38,,3,568
79695256,597380416,神秘博弈（HardVerson),C++,答案错误,2025/10/18 13:38,,1568,11484
79695264,243140229,神秘计数,Python 3,答案正确,2025/10/18 13:38,,42,4896
79695268,556124624,神秘计数,C++,答案正确,2025/10/18 13:38,,8,536
79695276,392785358,神秘数字,C++,答案正确,2025/10/18 13:39,,3,408
79695279,968264883,神秘字符串,C++,答案正确,2025/10/18 13:39,,3,424
79695294,390876669,神秘计数,Python 3,答案错误,2025/10/18 13:40,,51,5604
79695304,968264883,神秘数字,C++,答案错误,2025/10/18 13:40,,3,400
79695306,565818808,神秘计数,G++,答案正确,2025/10/18 13:40,,9,556
79695308,420811740,神秘煎饼,C,答案错误,2025/10/18 13:40,,3,384
79695315,968264883,神秘数字,C++,答案正确,2025/10/18 13:41,,3,404
79695342,390876669,神秘计数,Python 3,答案正确,2025/10/18 13:42,,47,5496
79695350,406798579,神秘计数,C,答案正确,2025/10/18 13:43,,4,476
79695351,178515278,DidUKnow?,C++,答案正确,2025/10/18 13:43,,38,516
79695360,420811740,神秘煎饼,C,答案错误,2025/10/18 13:43,,2,444
79695362,187679888,神秘计数,C,段错误,2025/10/18 13:43,,2,416
79695367,187679888,神秘计数,C,段错误,2025/10/18 13:43,,3,532
79695370,246258580,神秘数字,C++,答案错误,2025/10/18 13:44,,3,420
79695374,420811740,神秘煎饼,C,答案错误,2025/10/18 13:44,,2,400
79695381,187679888,神秘计数,C,段错误,2025/10/18 13:44,,2,556
79695392,187679888,神秘计数,C,段错误,2025/10/18 13:44,,2,512
79695401,187679888,神秘计数,C,段错误,2025/10/18 13:45,,2,440
79695403,420811740,神秘煎饼,C,答案错误,2025/10/18 13:45,,2,400
79695409,602048338,不神秘签到,C++,答案正确,2025/10/18 13:45,,3,392
79695412,246258580,神秘数字,C++,答案正确,2025/10/18 13:45,,3,424
79695417,799233910,神秘数字,C,运行超时,2025/10/18 13:46,,1001,0
79695419,513608587,神秘博弈（EasyVerson),C++,答案错误,2025/10/18 13:46,,72,8184
79695426,799233910,神秘数字,C,运行超时,2025/10/18 13:46,,1001,0
79695432,187679888,神秘计数,C,段错误,2025/10/18 13:46,,2,496
79695443,187679888,神秘计数,C,段错误,2025/10/18 13:46,,3,580
79695444,799233910,神秘数字,C,运行超时,2025/10/18 13:47,,1001,0
79695459,513608587,神秘博弈（EasyVerson),C++,答案正确,2025/10/18 13:47,,53,8208
79695467,178515278,神秘煎饼,C++,答案错误,2025/10/18 13:48,,3,524
79695488,246258580,神秘博弈（HardVerson),C++,答案错误,2025/10/18 13:48,,1540,11444
79695491,602048338,DidUKnow?,C++,答案正确,2025/10/18 13:48,,10,452
79695501,565818808,DidUKnow?,C,答案错误,2025/10/18 13:49,,11,352
79695522,968264883,歪数,C++,答案错误,2025/10/18 13:50,,4,1168
79695527,602048338,神秘计数,C++,答案正确,2025/10/18 13:50,,3,696
79695528,246258580,神秘博弈（HardVerson),C++,答案正确,2025/10/18 13:50,,1938,14588
79695534,968264883,歪数,C++,答案正确,2025/10/18 13:50,,4,1204
79695555,391034496,神秘煎饼,C++,答案错误,2025/10/18 13:51,,3,496
79695569,421352232,不神秘签到,C++,答案正确,2025/10/18 13:51,,2,296
79695583,178515278,神秘煎饼,C++,答案错误,2025/10/18 13:52,,3,472
79695585,597380416,神秘博弈（HardVerson),C++,答案正确,2025/10/18 13:52,,1935,14584
79695587,389343658,DidUKnow?,C,答案正确,2025/10/18 13:52,,12,336
79695595,178515278,神秘煎饼,C++,答案错误,2025/10/18 13:52,,3,516
79695602,555362745,神秘计数,C,段错误,2025/10/18 13:52,,3,344
79695604,502269390,神秘煎饼,Pypy3,答案错误,2025/10/18 13:53,,77,21364
79695605,792631910,神秘博弈（EasyVerson),C++,答案正确,2025/10/18 13:53,,12,404
79695606,597380416,神秘博弈（EasyVerson),C++,答案正确,2025/10/18 13:53,,9,8240
79695610,968264883,神秘煎饼,C++,答案正确,2025/10/18 13:53,,3,512
79695615,757880607,不神秘签到,C,答案正确,2025/10/18 13:53,,2,256
79695617,757880607,不神秘签到,C,答案正确,2025/10/18 13:53,,2,336
79695629,555362745,神秘计数,C,段错误,2025/10/18 13:53,,2,396
79695631,178515278,神秘煎饼,C++,答案错误,2025/10/18 13:53,,3,504
79695635,391034496,神秘煎饼,C++,答案错误,2025/10/18 13:54,,4,480
79695641,602048338,神秘博弈（EasyVerson),C++,答案正确,2025/10/18 13:54,,176,22944
79695659,602048338,神秘博弈（HardVerson),C++,答案错误,2025/10/18 13:55,,16,15784
79695664,602048338,神秘博弈（HardVerson),C++,运行超时,2025/10/18 13:55,,2001,0
79695672,513608587,神秘字符串,C++,答案错误,2025/10/18 13:56,,3,420
79695674,282538857,DidUKnow?,C,答案正确,2025/10/18 13:56,,11,336
79695676,555362745,神秘计数,C,段错误,2025/10/18 13:56,,3,384
79695733,698535729,神秘计数,C,答案正确,2025/10/18 13:58,,2,460
79695749,420811740,神秘煎饼,C,答案错误,2025/10/18 13:59,,3,400
79695753,513608587,神秘字符串,C++,答案错误,2025/10/18 13:59,,4,512
79695794,420811740,神秘煎饼,C,答案错误,2025/10/18 14:01,,3,384
79695802,513608587,神秘字符串,C++,答案错误,2025/10/18 14:01,,3,408
79695806,470575997,不神秘签到,Python 3,答案正确,2025/10/18 14:02,,29,4472
79695811,556124624,神秘博弈（EasyVerson),C++,运行超时,2025/10/18 14:02,,1001,0
79695820,912822112,DidUKnow?,Python 3,答案错误,2025/10/18 14:02,,44,4676
79695824,513608587,神秘字符串,C++,答案正确,2025/10/18 14:02,,4,396
79695826,246258580,神秘煎饼,C++,答案错误,2025/10/18 14:02,,3,588
79695827,294413613,不神秘签到,C++,答案正确,2025/10/18 14:02,,2,296
79695830,420811740,神秘煎饼,C,答案错误,2025/10/18 14:02,,2,464
79695832,393305412,DidUKnow?,C,答案错误,2025/10/18 14:03,,3,352
79695838,555362745,神秘计数,C,段错误,2025/10/18 14:03,,3,364
79695839,826800218,不神秘签到,G++,答案正确,2025/10/18 14:03,,3,384
79695849,866328313,神秘煎饼,Java,答案错误,2025/10/18 14:03,,41,10864
79695850,420811740,神秘煎饼,C,答案错误,2025/10/18 14:03,,3,404
79695868,420811740,神秘博弈（EasyVerson),C,编译错误,2025/10/18 14:04,,0,0
79695878,393305412,DidUKnow?,C,答案错误,2025/10/18 14:04,,3,388
79695902,792631910,神秘博弈（HardVerson),C++,运行超时,2025/10/18 14:05,,2001,0
79695906,826800218,DidUKnow?,G++,答案正确,2025/10/18 14:06,,41,444
79695934,792631910,神秘博弈（HardVerson),C++,运行超时,2025/10/18 14:07,,2001,0
79695953,470575997,DidUKnow?,G++,答案正确,2025/10/18 14:08,,37,444
79695977,602048338,神秘博弈（HardVerson),C++,答案正确,2025/10/18 14:09,,1577,6748
79695982,470575997,神秘计数,G++,答案正确,2025/10/18 14:09,,6,672
79696005,294413613,DidUKnow?,C++,答案正确,2025/10/18 14:10,,35,516
79696006,866328313,神秘煎饼,Java,答案错误,2025/10/18 14:10,,42,10864
79696011,757880607,歪数,C,编译错误,2025/10/18 14:10,,0,0
79696022,282538857,神秘计数,C,答案正确,2025/10/18 14:10,,2,440
79696030,826800218,神秘计数,G++,答案正确,2025/10/18 14:11,,5,680
79696033,470575997,神秘博弈（EasyVerson),G++,答案错误,2025/10/18 14:11,,4,420
79696036,757880607,歪数,C,答案错误,2025/10/18 14:11,,2,356
79696047,597380416,神秘煎饼,C++,答案错误,2025/10/18 14:11,,3,440
79696054,555362745,神秘计数,C,答案错误,2025/10/18 14:12,,3,548
79696057,421352232,DidUKnow?,C++,答案正确,2025/10/18 14:12,,35,444
79696081,391034496,神秘数字,C++,答案错误,2025/10/18 14:13,,3,412
79696086,294413613,神秘计数,C++,答案正确,2025/10/18 14:14,,5,636
79696093,602048338,神秘煎饼,C++,答案错误,2025/10/18 14:14,,3,452
79696097,597380416,神秘煎饼,C++,答案错误,2025/10/18 14:14,,3,440
79696124,393305412,神秘计数,C,段错误,2025/10/18 14:15,,3,464
79696134,757880607,歪数,C,答案错误,2025/10/18 14:15,,3,400
79696145,390876669,神秘煎饼,Python 3,答案错误,2025/10/18 14:16,,48,4620
79696150,374244941,神秘数字,C++,答案错误,2025/10/18 14:16,,3,456
79696154,457132354,神秘计数,C,段错误,2025/10/18 14:17,,7,436
79696156,826800218,神秘博弈（EasyVerson),G++,答案正确,2025/10/18 14:17,,3,404
79696161,826800218,神秘博弈（HardVerson),G++,答案正确,2025/10/18 14:17,,1735,6720
79696165,390876669,神秘煎饼,Python 3,答案错误,2025/10/18 14:17,,49,4600
79696166,187679888,DidUKnow?,C,答案正确,2025/10/18 14:17,,11,312
79696170,866328313,神秘煎饼,Java,答案错误,2025/10/18 14:17,,43,10852
79696175,390876669,神秘煎饼,Python 3,答案错误,2025/10/18 14:17,,41,4600
79696176,393305412,神秘计数,C,段错误,2025/10/18 14:17,,3,428
79696180,374244941,神秘数字,C++,答案错误,2025/10/18 14:18,,3,568
79696181,555362745,神秘计数,C,段错误,2025/10/18 14:18,,3,516
79696183,391034496,神秘数字,C++,答案正确,2025/10/18 14:18,,3,428
79696186,393305412,神秘计数,C,答案正确,2025/10/18 14:18,,3,464
79696188,390876669,神秘煎饼,Python 3,答案错误,2025/10/18 14:18,,49,4548
79696193,421352232,神秘计数,C++,答案正确,2025/10/18 14:18,,5,648
79696196,374244941,神秘数字,C++,答案错误,2025/10/18 14:18,,3,416
79696198,390876669,神秘煎饼,Python 3,答案错误,2025/10/18 14:19,,42,4660
79696205,799233910,神秘计数,C,答案正确,2025/10/18 14:19,,3,464
79696223,421352232,神秘计数,C++,答案正确,2025/10/18 14:20,,5,652
79696227,602048338,神秘煎饼,C++,答案正确,2025/10/18 14:20,,4,468
79696230,513608587,神秘博弈（HardVerson),C++,运行超时,2025/10/18 14:20,,2001,0
79696231,513608587,神秘博弈（HardVerson),C++,运行超时,2025/10/18 14:20,,2001,0
79696234,513608587,神秘博弈（HardVerson),C++,运行超时,2025/10/18 14:20,,2001,0
79696246,390876669,神秘煎饼,Python 3,答案错误,2025/10/18 14:21,,45,4572
79696265,876736250,DidUKnow?,C++,答案错误,2025/10/18 14:22,,5,496
79696268,470575997,神秘博弈（EasyVerson),G++,答案正确,2025/10/18 14:22,,3,428
79696269,282538857,神秘博弈（EasyVerson),C,答案错误,2025/10/18 14:22,,2,356
79696276,470575997,神秘博弈（HardVerson),G++,答案正确,2025/10/18 14:22,,307,6792
